MIM Number	Ensembl Gene ID (Ensembl)
114182	ENSG00000143933
114183	ENSG00000160014
114184	ENSG00000178363
114190	ENSG00000064989
114204	ENSG00000153956
114205	ENSG00000151067
114206	ENSG00000157388
114207	ENSG00000067191
114208	ENSG00000081248
114209	ENSG00000108878
114210	ENSG00000196154
114212	ENSG00000105519
114213	ENSG00000122786
114217	ENSG00000127022
114220	ENSG00000014216
114230	ENSG00000162909
114240	ENSG00000092529
114250	ENSG00000143318
114251	ENSG00000118729
114280	ENSG00000169442
114350	ENSG00000126883
114610	ENSG00000118432
114750	ENSG00000164879
114760	ENSG00000167434
114761	ENSG00000174990
114770	ENSG00000168748
114780	ENSG00000131686
114800	ENSG00000133742
114815	ENSG00000178538
114830	ENSG00000159228
114835	ENSG00000198848
114840	ENSG00000170835
114850	ENSG00000091704
114851	ENSG00000163751
114852	ENSG00000153002
114855	ENSG00000109472
114860	ENSG00000135678
114890	ENSG00000105388
115435	ENSG00000145681
115437	ENSG00000162510
115440	ENSG00000101266
115441	ENSG00000204435
115442	ENSG00000070770
115450	ENSG00000126545
115460	ENSG00000135222
115500	ENSG00000121691
115501	ENSG00000107165
116790	ENSG00000093010
116805	ENSG00000044115
116806	ENSG00000168036
116810	ENSG00000164733
116820	ENSG00000103811
116830	ENSG00000100448
116831	ENSG00000100450
116840	ENSG00000117984
116845	ENSG00000163131
116880	ENSG00000135047
116890	ENSG00000196188
116896	ENSG00000257923
116897	ENSG00000245848
116898	ENSG00000221869
116899	ENSG00000124762
116900	ENSG00000173207
116901	ENSG00000123975
116930	ENSG00000149294
116940	ENSG00000170312
116945	ENSG00000073111
116946	ENSG00000004897
116947	ENSG00000164045
116948	ENSG00000099804
116949	ENSG00000101224
116951	ENSG00000008128
116952	ENSG00000070831
116953	ENSG00000123374
116955	ENSG00000169714
116957	ENSG00000080839
117139	ENSG00000115163
117140	ENSG00000125817
117141	ENSG00000145241
117143	ENSG00000138778
117340	ENSG00000140743
117700	ENSG00000047457
118190	ENSG00000144381
118423	ENSG00000128656
118425	ENSG00000188037
118440	ENSG00000187094
118444	ENSG00000163394
118445	ENSG00000110148
118455	ENSG00000167910
118470	ENSG00000087237
118485	ENSG00000140459
118490	ENSG00000070748
118491	ENSG00000110721
118493	ENSG00000181072
118494	ENSG00000133019
118495	ENSG00000180720
118496	ENSG00000184984
118502	ENSG00000120903
118503	ENSG00000080644
118504	ENSG00000101204
118505	ENSG00000169684
118507	ENSG00000160716
118508	ENSG00000147432
118509	ENSG00000117971
118510	ENSG00000168539
118511	ENSG00000175344
118661	ENSG00000038427
118820	ENSG00000213218
118825	ENSG00000203668
118850	ENSG00000135346
118860	ENSG00000104827
118888	ENSG00000141086
118890	ENSG00000168925
118910	ENSG00000100604
118920	ENSG00000089199
118930	ENSG00000171951
118938	ENSG00000092009
118943	ENSG00000240194
118945	ENSG00000242689
118946	ENSG00000122756
118950	ENSG00000062485
118955	ENSG00000141367
118960	ENSG00000122705
118970	ENSG00000175416
118990	ENSG00000138434
120070	ENSG00000169031
120090	ENSG00000134871
120105	ENSG00000137392
120110	ENSG00000123500
120120	ENSG00000114270
120130	ENSG00000187498
120131	ENSG00000081052
120140	ENSG00000139219
120150	ENSG00000108821
120160	ENSG00000164692
120165	ENSG00000082293
120180	ENSG00000168542
120190	ENSG00000204262
120210	ENSG00000112280
120215	ENSG00000130635
120216	ENSG00000080573
120220	ENSG00000142156
120240	ENSG00000142173
120250	ENSG00000163359
120251	ENSG00000144810
120252	ENSG00000171812
120260	ENSG00000049089
120270	ENSG00000092758
120280	ENSG00000060718
120290	ENSG00000204248
120320	ENSG00000111799
120324	ENSG00000187955
120325	ENSG00000204291
120326	ENSG00000084636
120328	ENSG00000182871
120350	ENSG00000197467
120353	ENSG00000196611
120355	ENSG00000118113
120360	ENSG00000087245
120361	ENSG00000100985
120420	ENSG00000184371
120436	ENSG00000076242
120470	ENSG00000187323
120520	ENSG00000196549
120550	ENSG00000173372
120570	ENSG00000173369
120575	ENSG00000159189
120577	ENSG00000125810
120580	ENSG00000182326
120620	ENSG00000203710
120650	ENSG00000117322
120700	ENSG00000125730
120810	ENSG00000244731
120820	ENSG00000224389
120830	ENSG00000123838
120831	ENSG00000123843
120900	ENSG00000106804
120920	ENSG00000117335
120930	ENSG00000176919
120940	ENSG00000113600
120950	ENSG00000157131
120960	ENSG00000021852
120980	ENSG00000169896
121009	ENSG00000118523
121010	ENSG00000163736
121011	ENSG00000165474
121012	ENSG00000187513
121013	ENSG00000265107
121014	ENSG00000152661
121015	ENSG00000121743
121360	ENSG00000067955
122500	ENSG00000170099
122559	ENSG00000145708
122560	ENSG00000147571
122561	ENSG00000120088
122720	ENSG00000255974
123101	ENSG00000120149
123260	ENSG00000132693
123280	ENSG00000166165
123290	ENSG00000237289
123295	ENSG00000131730
123310	ENSG00000104879
123580	ENSG00000160202
123590	ENSG00000109846
123610	ENSG00000108255
123620	ENSG00000244752
123630	ENSG00000100053
123631	ENSG00000196431
123660	ENSG00000168582
123670	ENSG00000182187
123680	ENSG00000163254
123690	ENSG00000118231
123691	ENSG00000116791
123695	ENSG00000161217
123730	ENSG00000213139
123740	ENSG00000103316
123803	ENSG00000123268
123805	ENSG00000172572
123810	ENSG00000118260
123811	ENSG00000115966
123812	ENSG00000095794
123825	ENSG00000198515
123828	ENSG00000250506
123829	ENSG00000135446
123830	ENSG00000173786
123831	ENSG00000164885
123832	ENSG00000100526
123833	ENSG00000118971
123834	ENSG00000112576
123835	ENSG00000145386
123836	ENSG00000134057
123837	ENSG00000105173
123838	ENSG00000112237
123840	ENSG00000196262
123841	ENSG00000166794
123842	ENSG00000168938
123855	ENSG00000170373
123856	ENSG00000170369
123857	ENSG00000101441
123858	ENSG00000170367
123859	ENSG00000110619
123860	ENSG00000171793
123864	ENSG00000131143
123866	ENSG00000135940
123870	ENSG00000176340
123875	ENSG00000213145
123876	ENSG00000159176
123885	ENSG00000143546
123886	ENSG00000163220
123889	ENSG00000243646
123890	ENSG00000163599
123900	ENSG00000092820
123910	ENSG00000100453
123920	ENSG00000158825
123930	ENSG00000197408
123940	ENSG00000170477
123970	ENSG00000172115
123980	ENSG00000179091
123995	ENSG00000161281
123996	ENSG00000112695
124010	ENSG00000160868
124015	ENSG00000127948
124020	ENSG00000165841
124030	ENSG00000100197
124040	ENSG00000130649
124050	ENSG00000110887
124060	ENSG00000140505
124070	ENSG00000197446
124075	ENSG00000142973
124080	ENSG00000179142
124089	ENSG00000126267
124090	ENSG00000164919
124092	ENSG00000136634
124095	ENSG00000103653
124097	ENSG00000105516
124450	ENSG00000203797
125220	ENSG00000206047
125240	ENSG00000196352
125255	ENSG00000011465
125263	ENSG00000105398
125264	ENSG00000124795
125265	ENSG00000129625
125270	ENSG00000148218
125290	ENSG00000023330
125305	ENSG00000158856
125450	ENSG00000156136
125485	ENSG00000152591
125505	ENSG00000213918
125597	ENSG00000143196
125643	ENSG00000134765
125645	ENSG00000134755
125647	ENSG00000096696
125660	ENSG00000175084
125670	ENSG00000134760
125671	ENSG00000046604
125855	ENSG00000065357
125860	ENSG00000181019
125950	ENSG00000155368
126060	ENSG00000228716
126063	ENSG00000119689
126064	ENSG00000102967
126065	ENSG00000019186
126090	ENSG00000166228
126110	ENSG00000143437
126141	ENSG00000130226
126150	ENSG00000113070
126255	ENSG00000115844
126335	ENSG00000116717
126337	ENSG00000175197
126340	ENSG00000104884
126350	ENSG00000105612
126375	ENSG00000130816
126380	ENSG00000012061
126391	ENSG00000105486
126420	ENSG00000198900
126430	ENSG00000131747
126431	ENSG00000077097
126449	ENSG00000184845
126450	ENSG00000149295
126451	ENSG00000151577
126452	ENSG00000069696
126453	ENSG00000169676
126455	ENSG00000142319
126650	ENSG00000091138
126660	ENSG00000113758
128239	ENSG00000173402
128240	ENSG00000152818
128260	ENSG00000182004
128990	ENSG00000120738
128992	ENSG00000135625
129010	ENSG00000122877
129190	ENSG00000135318
130120	ENSG00000139610
130130	ENSG00000197561
130135	ENSG00000021355
130160	ENSG00000049540
130410	ENSG00000105379
130500	ENSG00000159023
130590	ENSG00000156508
130592	ENSG00000104529
130593	ENSG00000254772
130610	ENSG00000167658
130620	ENSG00000164587
130660	ENSG00000138080
131170	ENSG00000213462
131195	ENSG00000106991
131210	ENSG00000007908
131220	ENSG00000113578
131222	ENSG00000025708
131230	ENSG00000164111
131235	ENSG00000105438
131240	ENSG00000078401
131241	ENSG00000127129
131242	ENSG00000124205
131243	ENSG00000151617
131244	ENSG00000136160
131290	ENSG00000163064
131310	ENSG00000164778
131320	ENSG00000107485
131330	ENSG00000181195
131340	ENSG00000101327
131360	ENSG00000111674
131370	ENSG00000108515
131375	ENSG00000188316
131390	ENSG00000116962
131398	ENSG00000169397
131399	ENSG00000121053
131410	ENSG00000169385
131530	ENSG00000138798
131550	ENSG00000146648
131560	ENSG00000132589
132350	ENSG00000111450
132810	ENSG00000143819
132811	ENSG00000120915
132880	ENSG00000160113
132890	ENSG00000175745
133090	ENSG00000148175
133170	ENSG00000130427
133171	ENSG00000187266
133280	ENSG00000139684
133430	ENSG00000091831
133435	ENSG00000079102
133440	ENSG00000151247
133450	ENSG00000182944
133510	ENSG00000163161
133520	ENSG00000175595
133530	ENSG00000134899
133550	ENSG00000106688
134350	ENSG00000197766
134370	ENSG00000000971
134371	ENSG00000244414
134390	ENSG00000117525
134570	ENSG00000124491
134580	ENSG00000143278
134629	ENSG00000160752
134635	ENSG00000168522
134636	ENSG00000257365
134637	ENSG00000026103
134638	ENSG00000117560
134640	ENSG00000145384
134650	ENSG00000163586
134651	ENSG00000121769
134660	ENSG00000084207
134690	ENSG00000149806
134770	ENSG00000167996
134790	ENSG00000087086
134795	ENSG00000105202
134797	ENSG00000166147
134820	ENSG00000171560
134830	ENSG00000171564
134850	ENSG00000171557
134920	ENSG00000138685
134921	ENSG00000111241
134934	ENSG00000068078
134935	ENSG00000160867
135600	ENSG00000115414
135620	ENSG00000161638
135630	ENSG00000150093
135820	ENSG00000077942
135821	ENSG00000163520
135940	ENSG00000143631
136130	ENSG00000010932
136131	ENSG00000076258
136132	ENSG00000007933
136350	ENSG00000077782
136351	ENSG00000122025
136352	ENSG00000037280
136425	ENSG00000165457
136430	ENSG00000110195
136435	ENSG00000170820
136440	ENSG00000119537
136470	ENSG00000134363
136510	ENSG00000136877
136515	ENSG00000175592
136530	ENSG00000131808
136533	ENSG00000150907
136535	ENSG00000248905
136537	ENSG00000171051
136538	ENSG00000171049
136539	ENSG00000187474
136820	ENSG00000001036
136835	ENSG00000130383
136836	ENSG00000156413
136850	ENSG00000091483
136950	ENSG00000140564
137020	ENSG00000104522
137025	ENSG00000010810
137026	ENSG00000125388
137028	ENSG00000156958
137030	ENSG00000143891
137035	ENSG00000069482
137060	ENSG00000086062
137070	ENSG00000089280
137140	ENSG00000151834
137141	ENSG00000109158
137142	ENSG00000186297
137143	ENSG00000145863
137150	ENSG00000183044
137160	ENSG00000022355
137161	ENSG00000146276
137162	ENSG00000111886
137163	ENSG00000187730
137164	ENSG00000113327
137165	ENSG00000157103
137166	ENSG00000163285
137167	ENSG00000115486
137168	ENSG00000099998
137170	ENSG00000006625
137181	ENSG00000133475
137190	ENSG00000163288
137192	ENSG00000166206
137207	ENSG00000137507
137216	ENSG00000105675
137217	ENSG00000186009
137240	ENSG00000159224
137241	ENSG00000010310
137250	ENSG00000184502
137260	ENSG00000134443
137290	ENSG00000184292
137295	ENSG00000179348
137350	ENSG00000148180
137570	ENSG00000144136
137780	ENSG00000131095
137960	ENSG00000115204
138030	ENSG00000115263
138032	ENSG00000112164
138033	ENSG00000215644
138040	ENSG00000113580
138079	ENSG00000106633
138090	ENSG00000049239
138120	ENSG00000044574
138130	ENSG00000148672
138140	ENSG00000117394
138150	ENSG00000125166
138160	ENSG00000163581
138170	ENSG00000059804
138180	ENSG00000120053
138190	ENSG00000181856
138200	ENSG00000167701
138210	ENSG00000166123
138230	ENSG00000142583
138243	ENSG00000163873
138244	ENSG00000164418
138245	ENSG00000171189
138246	ENSG00000152578
138247	ENSG00000120251
138248	ENSG00000155511
138249	ENSG00000176884
138250	ENSG00000059573
138251	ENSG00000178719
138252	ENSG00000273079
138253	ENSG00000183454
138254	ENSG00000161509
138275	ENSG00000136750
138280	ENSG00000115419
138290	ENSG00000135821
138292	ENSG00000198380
138295	ENSG00000136628
138297	ENSG00000138792
138300	ENSG00000104687
138319	ENSG00000176153
138320	ENSG00000233276
138321	ENSG00000211445
138322	ENSG00000167468
138330	ENSG00000008394
138333	ENSG00000168765
138350	ENSG00000134184
138359	ENSG00000243955
138360	ENSG00000244067
138380	ENSG00000213366
138385	ENSG00000134201
138390	ENSG00000134202
138400	ENSG00000111640
138420	ENSG00000167588
138430	ENSG00000115159
138440	ENSG00000159131
138450	ENSG00000182199
138470	ENSG00000243649
138480	ENSG00000164933
138491	ENSG00000145888
138492	ENSG00000109738
138550	ENSG00000100994
138570	ENSG00000104812
138571	ENSG00000111713
138590	ENSG00000197465
138600	ENSG00000229314
138610	ENSG00000228278
138670	ENSG00000121410
138680	ENSG00000145192
138700	ENSG00000091583
138720	ENSG00000203618
138750	ENSG00000124767
138760	ENSG00000063854
138850	ENSG00000109163
138890	ENSG00000133937
138945	ENSG00000030582
138960	ENSG00000164400
138965	ENSG00000124875
138970	ENSG00000108342
138971	ENSG00000119535
138972	ENSG00000153879
138981	ENSG00000100368
139080	ENSG00000122912
139110	ENSG00000081041
139111	ENSG00000163734
139130	ENSG00000111664
139139	ENSG00000123358
139150	ENSG00000145715
139160	ENSG00000128266
139185	ENSG00000180447
139190	ENSG00000118702
139191	ENSG00000106128
139200	ENSG00000145321
139240	ENSG00000136487
139250	ENSG00000259384
139255	ENSG00000087250
139259	ENSG00000103342
139260	ENSG00000119125
139265	ENSG00000137198
139270	ENSG00000143774
139310	ENSG00000127955
139311	ENSG00000087258
139312	ENSG00000141404
139313	ENSG00000088256
139314	ENSG00000060558
139320	ENSG00000087460
139330	ENSG00000114349
139340	ENSG00000134183
139350	ENSG00000167768
139360	ENSG00000114353
139370	ENSG00000065135
139380	ENSG00000078369
139390	ENSG00000172354
139391	ENSG00000167083
139392	ENSG00000197273
139395	ENSG00000214415
139396	ENSG00000164116
139397	ENSG00000061918
139605	ENSG00000114315
140050	ENSG00000145649
140100	ENSG00000257017
140210	ENSG00000261701
140550	ENSG00000204389
140555	ENSG00000173110
140559	ENSG00000204390
140560	ENSG00000126803
140571	ENSG00000080824
140572	ENSG00000096384
140580	ENSG00000185122
140581	ENSG00000025156
140750	ENSG00000166444
141180	ENSG00000123338
141250	ENSG00000100292
141251	ENSG00000103415
141800	ENSG00000206172
141850	ENSG00000188536
141900	ENSG00000244734
142000	ENSG00000223609
142100	ENSG00000213931
142200	ENSG00000213934
142210	ENSG00000124575
142220	ENSG00000168298
142230	ENSG00000174059
142240	ENSG00000086506
142250	ENSG00000196565
142290	ENSG00000110169
142310	ENSG00000130656
142360	ENSG00000099937
142370	ENSG00000101336
142385	ENSG00000108924
142408	ENSG00000173531
142409	ENSG00000019991
142410	ENSG00000135100
142440	ENSG00000105707
142445	ENSG00000157168
142460	ENSG00000169439
142461	ENSG00000142798
142560	ENSG00000198563
142570	ENSG00000160883
142580	ENSG00000204469
142590	ENSG00000204463
142600	ENSG00000156515
142610	ENSG00000204438
142620	ENSG00000204427
142622	ENSG00000121905
142640	ENSG00000113905
142695	ENSG00000115677
142701	ENSG00000126550
142702	ENSG00000205649
142703	ENSG00000113749
142704	ENSG00000140287
142705	ENSG00000130528
142708	ENSG00000189060
142709	ENSG00000124610
142710	ENSG00000187837
142711	ENSG00000184357
142712	ENSG00000187475
142720	ENSG00000203812
142750	ENSG00000270882
142763	ENSG00000164032
142765	ENSG00000087903
142780	ENSG00000203811
142790	ENSG00000019582
142800	ENSG00000206503
142810	ENSG00000170445
142830	ENSG00000234745
142840	ENSG00000204525
142855	ENSG00000204257
142856	ENSG00000242574
142857	ENSG00000196126
142858	ENSG00000223865
142860	ENSG00000204287
142871	ENSG00000204632
142880	ENSG00000231389
142910	ENSG00000113161
142930	ENSG00000204252
142940	ENSG00000112972
142950	ENSG00000122592
142951	ENSG00000106006
142952	ENSG00000106004
142953	ENSG00000197576
142954	ENSG00000105997
142955	ENSG00000105991
142956	ENSG00000078399
142957	ENSG00000253293
142958	ENSG00000005073
142959	ENSG00000106031
142960	ENSG00000120075
142961	ENSG00000108511
142962	ENSG00000260027
142963	ENSG00000120068
142964	ENSG00000170689
142965	ENSG00000182742
142966	ENSG00000120093
142967	ENSG00000173917
142968	ENSG00000120094
142970	ENSG00000037965
142971	ENSG00000180806
142972	ENSG00000197757
142973	ENSG00000172789
142974	ENSG00000198353
142975	ENSG00000123407
142976	ENSG00000123364
142980	ENSG00000128652
142981	ENSG00000170166
142982	ENSG00000128709
142983	ENSG00000163132
142984	ENSG00000128710
142985	ENSG00000175879
142986	ENSG00000128713
142987	ENSG00000128645
142988	ENSG00000170178
142989	ENSG00000128714
142991	ENSG00000174279
142992	ENSG00000215612
142993	ENSG00000119614
142994	ENSG00000130675
142995	ENSG00000136630
142996	ENSG00000106038
143010	ENSG00000204592
143023	ENSG00000099849
143024	ENSG00000204590
143030	ENSG00000010278
143054	ENSG00000010818
143055	ENSG00000129315
143089	ENSG00000170802
143110	ENSG00000204642
143170	ENSG00000124733
143450	ENSG00000138029
145505	ENSG00000005187
146630	ENSG00000108622
146631	ENSG00000076662
146640	ENSG00000151655
146650	ENSG00000162267
146660	ENSG00000104432
146661	ENSG00000168685
146680	ENSG00000119912
146690	ENSG00000106348
146691	ENSG00000178035
146710	ENSG00000100385
146730	ENSG00000146678
146731	ENSG00000115457
146732	ENSG00000146674
146733	ENSG00000141753
146734	ENSG00000115461
146735	ENSG00000167779
146738	ENSG00000248099
146740	ENSG00000203747
146760	ENSG00000150337
146770	ENSG00000128322
146790	ENSG00000143226
146880	ENSG00000196735
146920	ENSG00000160710
146928	ENSG00000180871
146929	ENSG00000163464
146930	ENSG00000169429
146931	ENSG00000145839
146933	ENSG00000110324
147040	ENSG00000119922
147045	ENSG00000186431
147138	ENSG00000149534
147139	ENSG00000158869
147140	ENSG00000179639
147141	ENSG00000071564
147150	ENSG00000157601
147183	ENSG00000168214
147245	ENSG00000007312
147263	ENSG00000151689
147264	ENSG00000204084
147265	ENSG00000150995
147267	ENSG00000096433
147270	ENSG00000055957
147280	ENSG00000197081
147290	ENSG00000122641
147310	ENSG00000169245
147360	ENSG00000163207
147370	ENSG00000140443
147380	ENSG00000123999
147390	ENSG00000163083
147435	ENSG00000131203
147440	ENSG00000017427
147450	ENSG00000142168
147460	ENSG00000112096
147470	ENSG00000167244
147485	ENSG00000197429
147520	ENSG00000125877
147521	ENSG00000137825
147522	ENSG00000143772
147545	ENSG00000169047
147553	ENSG00000177047
147556	ENSG00000091409
147557	ENSG00000132470
147558	ENSG00000115221
147559	ENSG00000139626
147561	ENSG00000082781
147562	ENSG00000188379
147563	ENSG00000029559
147564	ENSG00000236637
147565	ENSG00000147873
147566	ENSG00000120235
147567	ENSG00000214042
147568	ENSG00000120242
147569	ENSG00000159128
147570	ENSG00000111537
147571	ENSG00000187608
147572	ENSG00000126709
147574	ENSG00000213928
147575	ENSG00000125347
147576	ENSG00000168310
147577	ENSG00000186803
147578	ENSG00000233816
147579	ENSG00000228083
147580	ENSG00000147885
147582	ENSG00000136381
147583	ENSG00000234829
147584	ENSG00000137080
147586	ENSG00000163565
147620	ENSG00000136244
147625	ENSG00000003147
147640	ENSG00000171855
147650	ENSG00000182054
147660	ENSG00000197919
147670	ENSG00000171105
147671	ENSG00000027644
147678	ENSG00000137752
147679	ENSG00000136689
147680	ENSG00000109471
147681	ENSG00000095752
147683	ENSG00000169194
147685	ENSG00000141568
147690	ENSG00000185745
147700	ENSG00000138413
147720	ENSG00000125538
147730	ENSG00000134460
147740	ENSG00000164399
147760	ENSG00000115008
147780	ENSG00000113520
147781	ENSG00000077238
147790	ENSG00000132465
147795	ENSG00000162434
147796	ENSG00000096968
147810	ENSG00000115594
147811	ENSG00000115590
147840	ENSG00000090339
147850	ENSG00000113525
147851	ENSG00000091181
147870	ENSG00000105989
147880	ENSG00000160712
147890	ENSG00000183486
147892	ENSG00000211452
147910	ENSG00000167748
147935	ENSG00000100665
147940	ENSG00000121351
147960	ENSG00000167751
148020	ENSG00000171345
148021	ENSG00000254997
148022	ENSG00000205869
148030	ENSG00000171346
148040	ENSG00000186081
148041	ENSG00000205420
148042	ENSG00000185479
148043	ENSG00000186442
148059	ENSG00000135480
148060	ENSG00000170421
148065	ENSG00000171401
148066	ENSG00000186847
148067	ENSG00000186832
148069	ENSG00000128422
148070	ENSG00000111057
148080	ENSG00000186395
148180	ENSG00000140285
148760	ENSG00000138160
149750	ENSG00000167531
150000	ENSG00000134333
150100	ENSG00000111716
150150	ENSG00000166796
150200	ENSG00000136488
150205	ENSG00000167419
150210	ENSG00000012223
150240	ENSG00000091136
150290	ENSG00000135862
150292	ENSG00000058085
150310	ENSG00000196878
150320	ENSG00000101680
150325	ENSG00000172037
150330	ENSG00000160789
150340	ENSG00000113368
150341	ENSG00000176619
150370	ENSG00000168028
150390	ENSG00000049323
150570	ENSG00000100097
150571	ENSG00000100079
151290	ENSG00000109956
151300	ENSG00000113441
151350	ENSG00000133706
151385	ENSG00000159216
151410	ENSG00000186716
151430	ENSG00000171791
